# Access Logs
# Format: DateTime | SID | Name | Role | Result
# ------------------------------------------------
2026-05-27 13:54:09 | S-1-5-21-2078957457-1563926009-703113182-1001 | Unknown | none | DENIED
2026-05-27 13:54:15 | S-1-5-21-2078957457-1563926009-703113182-1001 | Unknown | none | DENIED
2026-05-27 13:55:25 | S-1-5-21-2078957457-1563926009-703113182-1001 | Unknown | none | DENIED
2026-05-27 14:05:51 | S-1-5-21-2078957457-1563926009-703113182-1001 | Tanish | owner | GRANTED
2026-05-27 14:06:02 | S-1-5-21-2078957457-1563926009-703113182-1001 | Tanish | owner | GRANTED
2026-05-27 14:06:23 | S-1-5-21-2078957457-1563926009-703113182-1001 | Tanish | owner | GRANTED
2026-05-27 14:09:18 | S-1-5-21-2078957457-1563926009-703113182-1001 | Tanish | owner | GRANTED
2026-05-27 14:12:54 | S-1-5-21-2078957457-1563926009-703113182-1001 | Tanish | coowner | GRANTED
2026-05-27 14:19:53 | S-1-5-21-2078957457-1563926009-703113182-1001 | Tanish | coowner | GRANTED
2026-05-27 14:23:10 | S-1-5-21-2078957457-1563926009-703113182-1001 | Tanish | coowner | GRANTED
2026-05-27 14:23:44 | S-1-5-21-2078957457-1563926009-703113182-1001 | Tanish | coowner | GRANTED
